小地方,#genre#

浙江钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
中国蓝新闻,http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
数码时代,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8?zzhed
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8?zzhed
平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed
余杭综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed
余杭未来E频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8?zzhed
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8?zzhed
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8?zzhed
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8?zzhed
极限,http://pulltest-bj.alivecdn.com:80/live/56ba5086c079e27dbf3c709e9f1fab65.flv
happy,http://pulltest-bj.alivecdn.com:80/live/30c197b7ab6dacf79e5a0b9592587b00.flv
香2蕉,http://pulltest-bj.alivecdn.com:80/live/7bf5b3a868dacafabe8bb1a5839cd1ff.flv
惊2艳,http://pulltest-bj.alivecdn.com:80/live/19206b817a143982b203de01dc5f9c9d.flv
潘2多拉,http://pulltest-bj.alivecdn.com:80/live/9c75710957b5940af75da258ea508702.flv
彩2虹电影,http://pulltest-bj.alivecdn.com:80/live/c4494bf673561494a66c3b98973e8d2a.flv
彩2虹k,http://pulltest-bj.alivecdn.com:80/live/17f2105a6a8d13030ba501088c3e42a3.flv
彩2虹e,http://pulltest-bj.alivecdn.com:80/live/12090845c2fb6d859e83349a20494e50.flv
松2视3,http://pulltest-bj.alivecdn.com:80/live/01aeb1739792be9e3174dfbeecaabca9.flv
松2视1,http://pulltest-bj.alivecdn.com:80/live/3c44f44cbbc5fb6d2ac6d3bebeba21cc.flv


资源,#genre#
1,http://88.212.7.11/live/test_extasy_hd_hevc/playlist.m3u8​​​​​​

2,http://88.212.7.11/live/test_brazzers_hd_hevc/playlist.m3u8​​​​​​

3,http://88.212.7.11/live/test_dorcel_hd_hevc/playlist.m3u8​​​​​​

4,http://88.212.7.11/live/test_erox_hd_hevc/playlist.m3u8​​​​​​

5,http://88.212.7.11/live/test_eroxxx_hd_hevc/playlist.m3u8​​​​​​

6,http://88.212.7.11/live/test_desire_hd_hevc/playlist.m3u8
